id,pipeline_tag,library_name,actual,predicted,residual,absolute_error,error_direction,pipeline_models,actual_to_median,likely_source,individual_note
sentence-transformers/all-MiniLM-L6-v2,sentence-similarity,sentence-transformers,254507269.0,12063892.950081095,242443376.0499189,242443376.0499189,under-prediction,61,291.88705497813777,blockbuster above the 99th download percentile,"Under-prediction by 242,443,376 downloads; actual downloads are 291.9x the snapshot median; pipeline 'sentence-similarity' contains 61 models; evidence points to blockbuster above the 99th download percentile."
google-bert/bert-base-uncased,fill-mask,transformers,103531008.0,2726865.6791894925,100804142.32081051,100804142.32081051,under-prediction,43,118.73673055694933,blockbuster above the 99th download percentile,"Under-prediction by 100,804,142 downloads; actual downloads are 118.7x the snapshot median; pipeline 'fill-mask' contains 43 models; evidence points to blockbuster above the 99th download percentile."
cross-encoder/ms-marco-MiniLM-L6-v2,text-ranking,sentence-transformers,87928707.0,1847309.4624295156,86081397.53757049,86081397.53757049,under-prediction,16,100.84290101068024,blockbuster above the 99th download percentile,"Under-prediction by 86,081,398 downloads; actual downloads are 100.8x the snapshot median; pipeline 'text-ranking' contains 16 models; evidence points to blockbuster above the 99th download percentile."
BAAI/bge-small-en-v1.5,feature-extraction,sentence-transformers,70010908.0,3933840.7465151334,66077067.25348487,66077067.25348487,under-prediction,51,80.29349351300982,blockbuster above the 99th download percentile,"Under-prediction by 66,077,067 downloads; actual downloads are 80.3x the snapshot median; pipeline 'feature-extraction' contains 51 models; evidence points to blockbuster above the 99th download percentile."
google/electra-base-discriminator,unknown,transformers,55418883.0,769127.5859463474,54649755.414053656,54649755.414053656,under-prediction,115,63.55832040713927,blockbuster above the 99th download percentile,"Under-prediction by 54,649,755 downloads; actual downloads are 63.6x the snapshot median; pipeline 'unknown' contains 115 models; evidence points to blockbuster above the 99th download percentile."
sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,sentence-similarity,sentence-transformers,55559128.0,16201320.217613144,39357807.782386854,39357807.782386854,under-prediction,61,63.71916335746541,blockbuster above the 99th download percentile,"Under-prediction by 39,357,808 downloads; actual downloads are 63.7x the snapshot median; pipeline 'sentence-similarity' contains 61 models; evidence points to blockbuster above the 99th download percentile."
BAAI/bge-m3,sentence-similarity,sentence-transformers,35229091.0,6017507.762576165,29211583.237423837,29211583.237423837,under-prediction,61,40.403229589276755,blockbuster above the 99th download percentile,"Under-prediction by 29,211,583 downloads; actual downloads are 40.4x the snapshot median; pipeline 'sentence-similarity' contains 61 models; evidence points to blockbuster above the 99th download percentile."
lpiccinelli/unidepth-v2-vitl14,unknown,UniDepth,27002738.0,837359.1459972707,26165378.85400273,26165378.85400273,under-prediction,115,30.968662318113395,blockbuster above the 99th download percentile,"Under-prediction by 26,165,379 downloads; actual downloads are 31.0x the snapshot median; pipeline 'unknown' contains 115 models; evidence points to blockbuster above the 99th download percentile."
Qwen/Qwen3-0.6B,text-generation,transformers,28544146.0,3543279.11827157,25000866.88172843,25000866.88172843,under-prediction,227,32.736458748476814,blockbuster above the 99th download percentile,"Under-prediction by 25,000,867 downloads; actual downloads are 32.7x the snapshot median; pipeline 'text-generation' contains 227 models; evidence points to blockbuster above the 99th download percentile."
google-t5/t5-small,translation,transformers,25837868.0,1287777.5112878322,24550090.48871217,24550090.48871217,under-prediction,9,29.63270647265429,rare pipeline with fewer than 10 models,"Under-prediction by 24,550,090 downloads; actual downloads are 29.6x the snapshot median; pipeline 'translation' contains 9 models; evidence points to rare pipeline with fewer than 10 models."
amazon/chronos-2,time-series-forecasting,chronos-forecasting,24665815.0,1429505.3789614195,23236309.621038582,23236309.621038582,under-prediction,22,28.288512651422838,available features do not explain this observation's scale,"Under-prediction by 23,236,310 downloads; actual downloads are 28.3x the snapshot median; pipeline 'time-series-forecasting' contains 22 models; evidence points to available features do not explain this observation's scale."
